5200,18000,15,150,0,10,0,0,
3,0,150,75,100,100,0,8,
4,0,300,100,150,100,7,9,
15,0,600,150,300,100,7,9,
9,0,900,150,300,100,0,4,
8,0,1500,450,900,100,5,9,
10,0,3000,1000,2000,100,4,6,
7,0,1200,450,900,100,5,9,
5,0,1800,450,900,100,0,5,
6,0,1800,450,900,100,0,5,
6,0,2000,450,900,100,0,5,
10,1,0,1,1,90,5,5,
10,1,0,1,1,70,7,7,
10,1,0,1,1,50,3,3,
10,1,0,1,1,30,9,9,
23,0,13500,13500,13500,100,9,9,
0,0,0,0,0,0,0,9,
0,0,0,0,0,0,0,9,
0,0,0,0,0,0,0,9,
0,0,0,0,0,0,0,9,
0,0,0,0,0,0,0,9,
